,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,1610612758,Sacramento Kings,82,61,21,0.744,48.2,39.8,85.4,0.467,5.2,14.1,0.367,19.7,26.3,0.751,12.4,33.0,45.3,23.9,13.8,9.0,4.6,4.7,19.0,0.1,104.6,7.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Sacramento Kings
0,1610612747,Los Angeles Lakers,82,58,24,0.707,48.2,38.4,83.4,0.461,6.2,17.5,0.354,18.2,26.0,0.699,12.5,31.8,44.3,23.0,12.7,7.6,5.8,4.3,22.2,0.1,101.3,7.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Los Angeles Lakers
0,1610612759,San Antonio Spurs,82,58,24,0.707,48.4,35.5,77.6,0.458,5.3,14.8,0.362,20.3,27.4,0.742,11.1,31.3,42.4,20.0,14.4,7.6,6.5,5.2,19.2,0.1,96.7,6.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,San Antonio Spurs
0,1610612742,Dallas Mavericks,82,57,25,0.695,48.5,39.0,84.5,0.462,7.6,20.1,0.378,19.6,24.3,0.806,11.2,31.3,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1,105.2,4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Dallas Mavericks
0,1610612751,New Jersey Nets,82,52,30,0.634,48.4,37.1,83.1,0.446,4.9,14.6,0.338,17.1,23.3,0.735,12.7,30.7,43.3,24.3,14.5,8.7,6.0,5.4,21.1,0.1,96.2,4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,New Jersey Nets
0,1610612750,Minnesota Timberwolves,82,50,32,0.61,48.3,38.7,84.0,0.461,4.8,12.8,0.378,17.1,21.4,0.798,12.9,31.2,44.2,24.3,13.4,6.4,5.2,5.0,21.2,0.1,99.3,3.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Minnesota Timberwolves
0,1610612765,Detroit Pistons,82,50,32,0.61,48.0,34.7,76.8,0.452,6.9,18.4,0.376,18.0,23.8,0.756,9.9,28.9,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1,94.3,2.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Detroit Pistons
0,1610612757,Portland Trail Blazers,82,49,33,0.598,48.4,36.6,81.4,0.45,5.7,16.1,0.354,17.7,23.2,0.763,13.2,29.8,43.0,23.5,14.3,8.6,4.5,5.0,19.7,0.1,96.6,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Portland Trail Blazers
0,1610612738,Boston Celtics,82,49,33,0.598,48.4,34.8,82.1,0.424,8.5,23.7,0.359,18.3,23.9,0.764,10.9,31.3,42.2,21.0,13.6,9.7,3.6,5.8,21.7,0.0,96.4,2.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Boston Celtics
0,1610612760,Seattle SuperSonics,82,45,37,0.549,48.4,38.2,81.5,0.469,6.0,15.8,0.378,15.4,20.4,0.755,11.8,28.5,40.3,23.5,13.7,8.5,4.4,4.9,21.1,0.1,97.7,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Seattle SuperSonics
